INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
D G Erwin Technical Center,Tampa,FL,33610-8255,1,27.9972,-82.4359,NULL,NULL,18374,NULL,PrivacySuppressed,840,0.3798,0.2964,0.2643,0.0214,0.0048,0,Council on Occupational Education
Rosel School of Cosmetology,Chicago,IL,60659,3,41.9977,-87.6913,NULL,NULL,NULL,NULL,NULL,80,0.225,0.0125,0.025,0.7375,0,0,National Accrediting Commission of Career Arts and Sciences
Worsham College of Mortuary Science,Wheeling,IL,60090-2646,3,42.1478,-87.9276,NULL,NULL,NULL,NULL,13000,108,0.7222,0.2037,0.0741,0,0,0,NULL
Bryan University,Springfield,MO,65804,3,37.2085,-93.2779,NULL,NULL,23368,NULL,17420.5,431,0.5545,0.1763,0.0418,0.007,0.0186,0.0046,Accrediting Council for Independent Colleges and Schools
Oregon College of Oriental Medicine,Portland,OR,97209,2,45.5154,-122.5552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,16823,1,40.8822,-77.7404,NULL,NULL,NULL,NULL,6674,195,0.9231,0.0308,0.0154,0.0256,0.0051,0,Pennsylvania State Board of Vocational Education Bureau of Career and Technical Education
Northwest Educational Center,Houston,TX,77092,3,29.8143,-95.4732,NULL,NULL,NULL,NULL,NULL,169,0.0296,0.3846,0.5503,0.0118,0,0,Council on Occupational Education
Sebring Career Schools-Houston,Houston,TX,77083,3,29.7047,-95.6458,NULL,NULL,NULL,NULL,3500,98,0.1633,0,0,0.8367,0,0,NULL
PCI Health Training Center,Dallas,TX,75247-4720,3,32.8201,-96.8763,NULL,NULL,NULL,NULL,5981,521,0.119,0.2917,0.5509,0.023,0,0,Accrediting Commission of Career Schools and Colleges
Windham Memorial Hospital-Radiologic Technology Program,Willimantic,CT,06226-2040,2,41.7175,-72.226,NULL,NULL,NULL,NULL,PrivacySuppressed,17,0.9412,0,0,0.0588,0,0,Joint Review Committee on Education in Radiologic Technology
Bethel Seminary of the East,Landover,MD,20785,2,40.1629,-75.1353,NULL,1144,NULL,NULL,20500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Miami-Jacobs Career College-Columbus,Columbus,OH,43215,3,39.9642,-82.9969,NULL,NULL,27179,NULL,11977,304,0.2303,0.7007,0.0329,0,0,0,NULL
Bryant & Stratton College-Eastlake,Eastlake,OH,44095,3,41.6393,-81.4353,NULL,NULL,21198,NULL,10250,613,0.5742,0.3834,0.0114,0.0065,0.0033,0,NULL
Hamrick School,Medina,OH,44256,3,41.1358,-81.7287,NULL,NULL,NULL,NULL,5481,187,0.5936,0.3529,0.0374,0.0107,0,0,Accrediting Commission of Career Schools and Colleges
Alabama State College of Barber Styling,Gardendale,AL,35071,3,33.6435,-86.8109,NULL,NULL,NULL,NULL,NULL,26,0.6923,0.2692,0.0385,0,0,0,Accrediting Commission of Career Schools and Colleges
